Participant_ID,Name,College,State,Sport,Day,Date,Time,Performance,Feedback
CHRP017,Holly Wood,Loyola College,Karnataka,Badminton,Day 1,2025-03-25,17:15,Below Average,Disappointed with the officiating during the Badminton competition. It was poor.
CHRP018,Derek Zuniga,Sanjay Ghodawat University,Delhi,Chess,Day 4,2025-03-28,12:00,Below Average,The Chess tournament could improve on competition level. It was quite inadequate.
CHRP019,Lisa Jackson,Christ University,Tamil Nadu,Basketball,Day 4,2025-03-28,14:00,Good,Disappointed with the participant management during the Basketball competition. It was poor.
CHRP020,Carla Gray,Mount Carmel College,Maharashtra,Tennis,Day 4,2025-03-28,12:00,Excellent,The Tennis event was extremely well-organized. Loved the amazing atmosphere!
CHRP021,Margaret Hawkins DDS,NIT Trichy,West Bengal,Chess,Day 4,2025-03-28,12:45,Good,Not satisfied with the Chess event organization. The competition level was disappointing.
CHRP022,Patty Perez,KIIT University,Telangana,Cricket,Day 5,2025-03-29,16:15,Average,Disappointed with the venue during the Cricket competition. It was disappointing.
CHRP023,Ethan Adams,Delhi University,Karnataka,Basketball,Day 5,2025-03-29,16:15,Excellent,Disappointed with the organization during the Basketball competition. It was disappointing.
CHRP024,Tommy Walter,SRM University,West Bengal,Football,Day 5,2025-03-29,12:00,Excellent,Great experience at the Football event. The facilities exceeded my expectations.
CHRP025,Matthew Foster,Delhi University,Delhi,Tennis,Day 4,2025-03-28,11:30,Average,The Tennis event was extremely well-organized. Loved the amazing atmosphere!
CHRP026,Judy Baker,Symbiosis Institute,Tamil Nadu,Table Tennis,Day 2,2025-03-26,17:30,Average,The Table Tennis event needs better equipment. Found it rather frustrating.
CHRP027,Justin Baker,NIT Trichy,Uttar Pradesh,Table Tennis,Day 3,2025-03-27,17:00,Average,The Table Tennis event was extremely well-organized. Loved the outstanding atmosphere!
CHRP028,Stephanie Ross,Symbiosis Institute,Punjab,Swimming,Day 3,2025-03-27,13:15,Good,The Swimming tournament could improve on participant management. It was quite poor.
CHRP029,Zachary Hicks,Christ University,Tamil Nadu,Cricket,Day 3,2025-03-27,09:00,Good,The Cricket tournament could improve on participant management. It was quite frustrating.
CHRP030,Anthony Rodriguez,Mount Carmel College,Punjab,Basketball,Day 1,2025-03-25,10:15,Excellent,The Basketball competition was top-notch. The semifinals was the best part.
CHRP031,Rebecca Henderson,Christ University,Telangana,Badminton,Day 1,2025-03-25,14:15,Excellent,The Badminton tournament could improve on competition level. It was quite lackluster.
CHRP032,James Ferrell,BITS Pilani,Delhi,Swimming,Day 2,2025-03-26,15:00,Average,Not satisfied with the Swimming event organization. The scheduling was lackluster.
CHRP033,Tricia Valencia,NIT Trichy,Tamil Nadu,Cricket,Day 1,2025-03-25,16:15,Below Average,The Cricket tournament could improve on scheduling. It was quite disorganized.
CHRP034,Nathan Maldonado,St. Xavier's College,Delhi,Cricket,Day 3,2025-03-27,13:00,Average,"As a Cricket player, I felt the equipment was below standard and inadequate."
CHRP035,Debra Davidson,Symbiosis Institute,Telangana,Swimming,Day 5,2025-03-29,13:00,Below Average,The Swimming tournament could improve on equipment. It was quite subpar.
CHRP036,Jeffrey Chavez,Symbiosis Institute,West Bengal,Volleyball,Day 2,2025-03-26,13:00,Excellent,"As a Volleyball enthusiast, I found the tournament to be fantastic and fantastic."
CHRP037,Sherri Baker,Loyola College,Kerala,Volleyball,Day 3,2025-03-27,10:30,Average,Great experience at the Volleyball event. The competition level exceeded my expectations.
CHRP038,Cassandra Gaines,VIT Vellore,Punjab,Swimming,Day 2,2025-03-26,15:45,Average,Not satisfied with the Swimming event organization. The venue was poor.
CHRP039,Elizabeth Fowler,VIT Vellore,Delhi,Cricket,Day 5,2025-03-29,14:45,Below Average,Really enjoyed participating in Cricket. The officiating was particularly superb.
CHRP040,Brittany Farmer,Loyola College,Telangana,Table Tennis,Day 5,2025-03-29,14:00,Average,Disappointed with the scheduling during the Table Tennis competition. It was lackluster.
CHRP041,Paula Moreno,St. Xavier's College,Karnataka,Athletics,Day 4,2025-03-28,10:45,Good,Great experience at the Athletics event. The competition level exceeded my expectations.
CHRP042,Fred Smith,BITS Pilani,Karnataka,Football,Day 4,2025-03-28,12:15,Below Average,The Football event was extremely well-organized. Loved the fantastic atmosphere!
CHRP043,Sherry Decker,BITS Pilani,Uttar Pradesh,Table Tennis,Day 5,2025-03-29,14:45,Below Average,"As a Table Tennis enthusiast, I found the tournament to be superb and superb."
CHRP044,Anthony Humphrey,Sanjay Ghodawat University,Uttar Pradesh,Tennis,Day 2,2025-03-26,13:45,Average,Not satisfied with the Tennis event organization. The facilities was disappointing.
CHRP045,Angelica Tucker,Amity University,Kerala,Badminton,Day 5,2025-03-29,10:15,Good,Not satisfied with the Badminton event organization. The officiating was subpar.
CHRP046,Philip Cannon,IIT Madras,Tamil Nadu,Cricket,Day 4,2025-03-28,14:45,Excellent,Really enjoyed participating in Cricket. The competition level was particularly impressive.
CHRP047,John Pierce,St. Xavier's College,Gujarat,Cricket,Day 4,2025-03-28,09:30,Below Average,Not satisfied with the Cricket event organization. The scheduling was poor.
CHRP048,Shane Henderson,SRM University,Telangana,Cricket,Day 4,2025-03-28,09:45,Below Average,Disappointed with the participant management during the Cricket competition. It was lackluster.
CHRP049,Joshua Blair,St. Xavier's College,West Bengal,Volleyball,Day 5,2025-03-29,09:00,Good,Great experience at the Volleyball event. The venue exceeded my expectations.
CHRP050,Eric Carney,Presidency College,Kerala,Athletics,Day 4,2025-03-28,14:30,Average,Great experience at the Athletics event. The organization exceeded my expectations.
CHRP051,Jessica Holmes,St. Xavier's College,Punjab,Basketball,Day 3,2025-03-27,12:00,Excellent,Disappointed with the venue during the Basketball competition. It was frustrating.
CHRP052,Danny Morgan,BITS Pilani,Delhi,Swimming,Day 4,2025-03-28,10:15,Average,The Swimming competition was top-notch. The semifinals was the best part.
CHRP053,Crystal Robinson,VIT Vellore,Tamil Nadu,Volleyball,Day 1,2025-03-25,13:45,Good,The Volleyball event was extremely well-organized. Loved the fantastic atmosphere!
CHRP054,Mark Perez,VIT Vellore,Gujarat,Football,Day 5,2025-03-29,09:30,Below Average,The Football competition was top-notch. The final match was the best part.
CHRP055,Shannon Jones,Mount Carmel College,Uttar Pradesh,Football,Day 4,2025-03-28,14:45,Below Average,Disappointed with the facilities during the Football competition. It was subpar.
CHRP056,Michael Lewis,Sanjay Ghodawat University,Uttar Pradesh,Cricket,Day 5,2025-03-29,13:30,Excellent,The Cricket tournament could improve on scheduling. It was quite inadequate.
CHRP057,Timothy Duncan,Presidency College,Kerala,Basketball,Day 4,2025-03-28,14:15,Good,The Basketball competition was top-notch. The awards ceremony was the best part.
CHRP058,Richard Aguirre,Amity University,Punjab,Basketball,Day 5,2025-03-29,12:00,Below Average,Not satisfied with the Basketball event organization. The scheduling was poor.
CHRP059,Brent Jordan,Sanjay Ghodawat University,Uttar Pradesh,Chess,Day 1,2025-03-25,10:30,Below Average,Disappointed with the equipment during the Chess competition. It was disorganized.
CHRP060,John Daniel,Manipal Institute,West Bengal,Table Tennis,Day 3,2025-03-27,14:45,Average,The Table Tennis tournament could improve on organization. It was quite frustrating.
CHRP061,Victoria Garcia,IIT Madras,Kerala,Football,Day 5,2025-03-29,11:15,Below Average,The Football tournament could improve on facilities. It was quite subpar.
CHRP062,Gerald Hensley,IIT Madras,Telangana,Athletics,Day 3,2025-03-27,11:30,Good,The Athletics tournament could improve on venue. It was quite disappointing.
CHRP063,Connor West,VIT Vellore,Maharashtra,Chess,Day 1,2025-03-25,09:30,Below Average,Great experience at the Chess event. The officiating exceeded my expectations.
CHRP064,Donald Wright,Amity University,Uttar Pradesh,Football,Day 1,2025-03-25,15:45,Excellent,Disappointed with the facilities during the Football competition. It was frustrating.
CHRP065,Jessica Callahan,SRM University,Tamil Nadu,Table Tennis,Day 4,2025-03-28,12:45,Below Average,The Table Tennis competition was top-notch. The team spirit was the best part.
CHRP066,Amber Kidd,Christ University,Gujarat,Football,Day 2,2025-03-26,12:30,Good,Disappointed with the organization during the Football competition. It was frustrating.
CHRP067,Tracy House,St. Xavier's College,West Bengal,Chess,Day 5,2025-03-29,16:30,Good,The Chess tournament could improve on facilities. It was quite subpar.
CHRP068,Carol Tucker,KIIT University,Tamil Nadu,Athletics,Day 3,2025-03-27,12:45,Good,Disappointed with the officiating during the Athletics competition. It was disorganized.
CHRP069,James Brown,Christ University,Maharashtra,Tennis,Day 5,2025-03-29,13:45,Below Average,The Tennis tournament could improve on competition level. It was quite subpar.
CHRP070,William Baker,Sanjay Ghodawat University,Uttar Pradesh,Football,Day 5,2025-03-29,09:45,Average,The Football event needs better scheduling. Found it rather disappointing.
CHRP071,Jordan Henderson,St. Xavier's College,Telangana,Volleyball,Day 1,2025-03-25,11:45,Below Average,The Volleyball competition was top-notch. The crowd support was the best part.
CHRP072,Whitney Peters,Sanjay Ghodawat University,Tamil Nadu,Chess,Day 3,2025-03-27,15:30,Excellent,Disappointed with the competition level during the Chess competition. It was disorganized.
CHRP073,Brittney Phillips,Sanjay Ghodawat University,Telangana,Cricket,Day 5,2025-03-29,09:45,Average,The Cricket tournament could improve on organization. It was quite disorganized.
CHRP074,Lauren Daniels,St. Xavier's College,Punjab,Chess,Day 4,2025-03-28,09:15,Average,"As a Chess enthusiast, I found the tournament to be superb and superb."
CHRP075,Amy Silva,IIT Madras,Telangana,Table Tennis,Day 2,2025-03-26,13:45,Excellent,The Table Tennis event was extremely well-organized. Loved the fantastic atmosphere!
CHRP076,Sarah Moore,St. Xavier's College,Punjab,Cricket,Day 1,2025-03-25,12:00,Excellent,Really enjoyed participating in Cricket. The facilities was particularly superb.
CHRP077,Angela Lopez,Amity University,West Bengal,Chess,Day 4,2025-03-28,12:45,Good,Great experience at the Chess event. The officiating exceeded my expectations.
CHRP078,Megan Young,Amity University,West Bengal,Badminton,Day 5,2025-03-29,13:00,Average,"As a Badminton player, I felt the participant management was below standard and poor."
CHRP079,Steve Sanchez,KIIT University,Punjab,Chess,Day 3,2025-03-27,14:45,Average,Really enjoyed participating in Chess. The competition level was particularly fantastic.
CHRP080,Lisa Barnes,Mount Carmel College,Karnataka,Badminton,Day 4,2025-03-28,15:45,Below Average,The Badminton event needs better equipment. Found it rather frustrating.
CHRP081,Kelly Donovan,KIIT University,Tamil Nadu,Table Tennis,Day 4,2025-03-28,09:15,Good,The Table Tennis event was extremely well-organized. Loved the superb atmosphere!
CHRP082,Mike Allen,Presidency College,Tamil Nadu,Badminton,Day 5,2025-03-29,15:30,Excellent,"As a Badminton enthusiast, I found the tournament to be excellent and excellent."
CHRP083,Michael Evans,VIT Vellore,Delhi,Football,Day 4,2025-03-28,10:00,Good,The Football competition was top-notch. The awards ceremony was the best part.
CHRP084,Paul Jones,Christ University,Telangana,Badminton,Day 3,2025-03-27,15:15,Below Average,"As a Badminton player, I felt the officiating was below standard and subpar."
CHRP085,Zachary Ferrell,NIT Trichy,Tamil Nadu,Volleyball,Day 4,2025-03-28,12:45,Good,Really enjoyed participating in Volleyball. The facilities was particularly superb.
CHRP086,Daniel Baker,Amity University,Karnataka,Chess,Day 3,2025-03-27,17:15,Below Average,The Chess tournament could improve on facilities. It was quite poor.
CHRP087,Shirley Suarez,Mount Carmel College,Telangana,Chess,Day 3,2025-03-27,12:45,Excellent,Really enjoyed participating in Chess. The equipment was particularly impressive.
CHRP088,Christopher Bass,VIT Vellore,Telangana,Basketball,Day 4,2025-03-28,13:00,Excellent,"As a Basketball enthusiast, I found the tournament to be superb and superb."
CHRP089,Lisa Archer,Manipal Institute,Delhi,Athletics,Day 5,2025-03-29,13:15,Excellent,The Athletics tournament could improve on participant management. It was quite lackluster.
CHRP090,Aimee Montoya,Manipal Institute,Maharashtra,Football,Day 3,2025-03-27,14:45,Good,Disappointed with the equipment during the Football competition. It was lackluster.
CHRP091,Matthew Mcmillan,Amity University,Maharashtra,Tennis,Day 4,2025-03-28,13:30,Below Average,The Tennis event needs better scheduling. Found it rather frustrating.
CHRP092,Brian Rodriguez,Presidency College,Punjab,Badminton,Day 1,2025-03-25,15:00,Excellent,Not satisfied with the Badminton event organization. The facilities was disorganized.
CHRP093,Denise Jacobs,Presidency College,Kerala,Football,Day 2,2025-03-26,16:00,Average,"As a Football enthusiast, I found the tournament to be fantastic and fantastic."
CHRP094,Christina Walters,KIIT University,Telangana,Cricket,Day 1,2025-03-25,11:00,Average,Not satisfied with the Cricket event organization. The organization was disappointing.
CHRP095,John Whitehead,BITS Pilani,West Bengal,Chess,Day 3,2025-03-27,17:45,Good,Great experience at the Chess event. The participant management exceeded my expectations.
CHRP096,Anna Henderson,Mount Carmel College,Telangana,Basketball,Day 3,2025-03-27,12:45,Good,The Basketball competition was top-notch. The team spirit was the best part.
CHRP097,Aaron Wise,Manipal Institute,Karnataka,Cricket,Day 3,2025-03-27,12:00,Excellent,Really enjoyed participating in Cricket. The venue was particularly amazing.
CHRP098,Deborah Figueroa,SRM University,Maharashtra,Volleyball,Day 2,2025-03-26,10:15,Good,Really enjoyed participating in Volleyball. The officiating was particularly wonderful.
CHRP099,Jessica Smith,St. Xavier's College,Telangana,Swimming,Day 2,2025-03-26,17:30,Excellent,The Swimming event needs better venue. Found it rather frustrating.
CHRP100,Stephen Mckee,SRM University,Gujarat,Badminton,Day 1,2025-03-25,11:30,Good,Not satisfied with the Badminton event organization. The organization was poor.
CHRP101,Sandra Aguilar,Loyola College,Uttar Pradesh,Chess,Day 3,2025-03-27,17:00,Good,"As a Chess enthusiast, I found the tournament to be amazing and amazing."
CHRP102,Cameron Parker,St. Xavier's College,Karnataka,Chess,Day 4,2025-03-28,15:00,Below Average,The Chess event was extremely well-organized. Loved the excellent atmosphere!
CHRP103,Rebecca Valencia,BITS Pilani,Tamil Nadu,Swimming,Day 3,2025-03-27,17:30,Average,Great experience at the Swimming event. The organization exceeded my expectations.
CHRP104,Christine Wright,Symbiosis Institute,Punjab,Athletics,Day 4,2025-03-28,16:15,Average,Great experience at the Athletics event. The competition level exceeded my expectations.
CHRP105,Richard Henson,Symbiosis Institute,Kerala,Cricket,Day 3,2025-03-27,13:30,Below Average,The Cricket event needs better organization. Found it rather disappointing.
CHRP106,Marc Moore,Mount Carmel College,Tamil Nadu,Badminton,Day 2,2025-03-26,17:00,Average,The Badminton event was extremely well-organized. Loved the impressive atmosphere!
CHRP107,Sharon Cherry,Mount Carmel College,Karnataka,Tennis,Day 5,2025-03-29,13:30,Good,Disappointed with the participant management during the Tennis competition. It was subpar.
CHRP108,Sierra Johnson,Symbiosis Institute,Kerala,Table Tennis,Day 3,2025-03-27,10:30,Good,Great experience at the Table Tennis event. The facilities exceeded my expectations.
CHRP109,Evelyn Galvan,NIT Trichy,Telangana,Tennis,Day 3,2025-03-27,14:00,Good,"As a Tennis player, I felt the competition level was below standard and subpar."
CHRP110,Sharon Cochran,BITS Pilani,Karnataka,Football,Day 5,2025-03-29,12:45,Below Average,The Football competition was top-notch. The awards ceremony was the best part.
CHRP111,Richard Rodriguez,Delhi University,Gujarat,Volleyball,Day 1,2025-03-25,09:15,Excellent,The Volleyball event needs better participant management. Found it rather disorganized.
CHRP112,Shannon Walker,Mount Carmel College,Uttar Pradesh,Volleyball,Day 4,2025-03-28,15:30,Excellent,The Volleyball tournament could improve on organization. It was quite inadequate.
CHRP113,Julia Torres,Sanjay Ghodawat University,Punjab,Tennis,Day 1,2025-03-25,12:45,Excellent,The Tennis event was extremely well-organized. Loved the fantastic atmosphere!
CHRP114,Crystal Johnson,BITS Pilani,Telangana,Tennis,Day 3,2025-03-27,10:00,Below Average,Really enjoyed participating in Tennis. The competition level was particularly outstanding.
CHRP115,Garrett Lin,SRM University,Punjab,Table Tennis,Day 3,2025-03-27,10:45,Below Average,The Table Tennis event needs better organization. Found it rather inadequate.
CHRP116,Diana May,Mount Carmel College,Gujarat,Cricket,Day 4,2025-03-28,13:00,Excellent,The Cricket competition was top-notch. The crowd support was the best part.
CHRP117,William Herrera,Manipal Institute,Tamil Nadu,Cricket,Day 1,2025-03-25,12:45,Below Average,"As a Cricket enthusiast, I found the tournament to be excellent and excellent."
CHRP118,Ashley Waller,Delhi University,Delhi,Badminton,Day 2,2025-03-26,10:00,Good,The Badminton competition was top-notch. The semifinals was the best part.
CHRP119,Victor Baker,Symbiosis Institute,Maharashtra,Tennis,Day 2,2025-03-26,11:15,Good,Not satisfied with the Tennis event organization. The participant management was inadequate.
CHRP120,Jeffrey Chandler,Delhi University,Kerala,Swimming,Day 4,2025-03-28,10:45,Average,The Swimming competition was top-notch. The team spirit was the best part.
CHRP121,Larry Dixon,Loyola College,Telangana,Chess,Day 4,2025-03-28,09:00,Average,The Chess event needs better organization. Found it rather subpar.
CHRP122,Kenneth Scott,Presidency College,Uttar Pradesh,Volleyball,Day 5,2025-03-29,09:45,Good,The Volleyball competition was top-notch. The final match was the best part.
CHRP123,April Frost,KIIT University,Tamil Nadu,Badminton,Day 1,2025-03-25,17:15,Good,Not satisfied with the Badminton event organization. The officiating was inadequate.
CHRP124,Michelle Harmon,Manipal Institute,Telangana,Cricket,Day 4,2025-03-28,14:00,Excellent,The Cricket tournament could improve on competition level. It was quite disappointing.
CHRP125,Helen Jones,Amity University,Gujarat,Swimming,Day 3,2025-03-27,10:15,Average,Not satisfied with the Swimming event organization. The organization was frustrating.
CHRP126,Erin Edwards,Presidency College,Kerala,Swimming,Day 5,2025-03-29,10:45,Average,The Swimming event was extremely well-organized. Loved the wonderful atmosphere!
CHRP127,Michelle Evans,IIT Madras,Kerala,Chess,Day 2,2025-03-26,12:15,Excellent,The Chess tournament could improve on organization. It was quite lackluster.
CHRP128,Jason Powell,Christ University,Kerala,Volleyball,Day 2,2025-03-26,15:15,Good,"As a Volleyball player, I felt the officiating was below standard and lackluster."
CHRP129,Cameron Fisher,KIIT University,Karnataka,Cricket,Day 3,2025-03-27,12:45,Average,Great experience at the Cricket event. The scheduling exceeded my expectations.
CHRP130,Megan Orr,Sanjay Ghodawat University,Delhi,Badminton,Day 5,2025-03-29,16:45,Below Average,"As a Badminton player, I felt the competition level was below standard and poor."
CHRP131,Elizabeth Kelley,IIT Madras,Gujarat,Swimming,Day 3,2025-03-27,09:45,Excellent,"As a Swimming player, I felt the organization was below standard and lackluster."
CHRP132,Dustin Jordan,Loyola College,Maharashtra,Tennis,Day 4,2025-03-28,17:15,Excellent,Really enjoyed participating in Tennis. The equipment was particularly superb.
CHRP133,Mary Marshall,Mount Carmel College,Karnataka,Cricket,Day 5,2025-03-29,14:15,Excellent,The Cricket competition was top-notch. The awards ceremony was the best part.
CHRP134,Daniel Kennedy,Symbiosis Institute,Kerala,Swimming,Day 2,2025-03-26,09:30,Good,Great experience at the Swimming event. The venue exceeded my expectations.
CHRP135,Rebecca Jackson,St. Xavier's College,Telangana,Athletics,Day 2,2025-03-26,17:45,Average,Disappointed with the organization during the Athletics competition. It was disorganized.
CHRP136,Jose Schultz,SRM University,West Bengal,Volleyball,Day 4,2025-03-28,10:00,Excellent,"As a Volleyball enthusiast, I found the tournament to be fantastic and fantastic."
CHRP137,Robert Potter,Mount Carmel College,Karnataka,Volleyball,Day 3,2025-03-27,12:45,Excellent,"As a Volleyball player, I felt the organization was below standard and disorganized."
CHRP138,Courtney Gonzalez,St. Xavier's College,West Bengal,Chess,Day 1,2025-03-25,15:30,Excellent,The Chess tournament could improve on organization. It was quite lackluster.
CHRP139,David Alvarez,SRM University,Tamil Nadu,Volleyball,Day 3,2025-03-27,11:00,Average,Disappointed with the participant management during the Volleyball competition. It was lackluster.
CHRP140,Angel Perry,Sanjay Ghodawat University,Maharashtra,Swimming,Day 1,2025-03-25,16:00,Good,The Swimming event needs better scheduling. Found it rather lackluster.
CHRP141,Cheyenne Horton,Delhi University,Telangana,Table Tennis,Day 4,2025-03-28,17:45,Excellent,Disappointed with the equipment during the Table Tennis competition. It was disorganized.
CHRP142,David Douglas Jr.,Delhi University,Telangana,Football,Day 3,2025-03-27,15:45,Below Average,The Football competition was top-notch. The crowd support was the best part.
CHRP143,Patricia Rodriguez,Sanjay Ghodawat University,Kerala,Table Tennis,Day 3,2025-03-27,10:45,Below Average,"As a Table Tennis player, I felt the officiating was below standard and lackluster."
CHRP144,Christopher Rubio,VIT Vellore,Kerala,Football,Day 1,2025-03-25,14:30,Below Average,"As a Football player, I felt the competition level was below standard and subpar."
CHRP145,Amber Wright,KIIT University,Kerala,Chess,Day 1,2025-03-25,14:45,Excellent,The Chess event needs better competition level. Found it rather subpar.
CHRP146,Joyce Solis,NIT Trichy,Karnataka,Swimming,Day 5,2025-03-29,16:00,Excellent,Disappointed with the equipment during the Swimming competition. It was lackluster.
CHRP147,Victoria Larson,Presidency College,Gujarat,Basketball,Day 5,2025-03-29,11:45,Average,Not satisfied with the Basketball event organization. The organization was lackluster.
CHRP148,Stephanie Salazar,BITS Pilani,Punjab,Badminton,Day 4,2025-03-28,14:30,Excellent,The Badminton event needs better officiating. Found it rather subpar.
CHRP149,Kathy Rivas,Presidency College,Punjab,Football,Day 3,2025-03-27,13:45,Average,Not satisfied with the Football event organization. The organization was frustrating.
CHRP150,Stephanie Manning,Loyola College,Uttar Pradesh,Swimming,Day 4,2025-03-28,10:30,Excellent,"As a Swimming player, I felt the facilities was below standard and poor."
CHRP151,David Wright,NIT Trichy,Maharashtra,Badminton,Day 5,2025-03-29,12:00,Good,Disappointed with the participant management during the Badminton competition. It was lackluster.
CHRP152,Pamela Boyd,Manipal Institute,Punjab,Volleyball,Day 3,2025-03-27,16:15,Excellent,The Volleyball event was extremely well-organized. Loved the spectacular atmosphere!
CHRP153,Denise Jones,Sanjay Ghodawat University,Punjab,Cricket,Day 4,2025-03-28,10:15,Excellent,Not satisfied with the Cricket event organization. The equipment was inadequate.
CHRP154,Devon Flores,NIT Trichy,Maharashtra,Cricket,Day 5,2025-03-29,09:00,Good,The Cricket competition was top-notch. The awards ceremony was the best part.
CHRP155,Brenda Hall,SRM University,Kerala,Table Tennis,Day 3,2025-03-27,10:30,Average,Disappointed with the facilities during the Table Tennis competition. It was subpar.
CHRP156,Michelle Brown,Loyola College,Punjab,Swimming,Day 5,2025-03-29,11:15,Average,"As a Swimming enthusiast, I found the tournament to be amazing and amazing."
CHRP157,Joshua Perry,Christ University,Gujarat,Tennis,Day 2,2025-03-26,15:00,Average,The Tennis competition was top-notch. The crowd support was the best part.
CHRP158,Jason Stein,Presidency College,Telangana,Chess,Day 1,2025-03-25,09:15,Below Average,Great experience at the Chess event. The scheduling exceeded my expectations.
CHRP159,Melissa Gates,BITS Pilani,Kerala,Badminton,Day 3,2025-03-27,15:15,Excellent,The Badminton tournament could improve on participant management. It was quite frustrating.
CHRP160,Jamie Smith,Amity University,Uttar Pradesh,Athletics,Day 2,2025-03-26,10:00,Below Average,"As a Athletics player, I felt the scheduling was below standard and inadequate."
CHRP161,Paul Castaneda,Delhi University,Gujarat,Badminton,Day 2,2025-03-26,11:45,Below Average,Great experience at the Badminton event. The participant management exceeded my expectations.
CHRP162,Jennifer Adkins,Loyola College,West Bengal,Table Tennis,Day 4,2025-03-28,12:15,Average,The Table Tennis event was extremely well-organized. Loved the amazing atmosphere!
CHRP163,Lindsey Walker,Sanjay Ghodawat University,Telangana,Table Tennis,Day 1,2025-03-25,10:45,Average,The Table Tennis tournament could improve on competition level. It was quite lackluster.
CHRP164,Jeffrey Johnson,Christ University,West Bengal,Basketball,Day 5,2025-03-29,17:15,Average,The Basketball event needs better participant management. Found it rather inadequate.
CHRP165,Michael Powell,Amity University,Gujarat,Volleyball,Day 1,2025-03-25,11:00,Average,The Volleyball competition was top-notch. The semifinals was the best part.
CHRP166,John Anderson,Presidency College,Punjab,Basketball,Day 1,2025-03-25,09:15,Below Average,"As a Basketball player, I felt the officiating was below standard and inadequate."
CHRP167,Alyssa Long,BITS Pilani,Kerala,Volleyball,Day 3,2025-03-27,11:45,Average,"As a Volleyball enthusiast, I found the tournament to be wonderful and wonderful."
CHRP168,Alyssa Day,VIT Vellore,Uttar Pradesh,Basketball,Day 3,2025-03-27,14:00,Average,The Basketball event was extremely well-organized. Loved the superb atmosphere!
CHRP169,Joel Williams,SRM University,Karnataka,Volleyball,Day 4,2025-03-28,11:45,Good,The Volleyball event needs better organization. Found it rather poor.
CHRP170,Daniel Murphy,St. Xavier's College,Uttar Pradesh,Badminton,Day 4,2025-03-28,11:45,Below Average,"As a Badminton player, I felt the participant management was below standard and lackluster."
CHRP171,Jamie Walton,Christ University,Maharashtra,Table Tennis,Day 2,2025-03-26,17:30,Below Average,The Table Tennis competition was top-notch. The team spirit was the best part.
CHRP172,Darlene Miller,Delhi University,Punjab,Badminton,Day 3,2025-03-27,16:15,Average,"As a Badminton player, I felt the scheduling was below standard and disorganized."
CHRP173,Joshua Cooke,VIT Vellore,Delhi,Chess,Day 3,2025-03-27,16:30,Average,The Chess competition was top-notch. The opening event was the best part.
CHRP174,Matthew Harrington,Manipal Institute,Maharashtra,Tennis,Day 1,2025-03-25,13:00,Below Average,The Tennis tournament could improve on participant management. It was quite subpar.
